ID,Author_Name,Years,Author_ID,Title,Year,School,School_ID,Department_free_text,Department_broad_category,Department CBID,Subject_broad,Root_dissertation,Advisor_Name_1,Advisor_ID_1,Advisor_Role_1,Advisor_Name_2,Advisor_ID_2,Advisor_Role_2,Advisor_Name_3,Advisor_ID_3,Advisor_Role_3,Advisor_Name_4,Advisor_ID_4,Advisor_Role_4,Advisor_Name_5,Advisor_ID_5,Advisor_Role_5,Advisor_Name_6,Advisor_ID_6,Advisor_Role_6,Advisor_Name_7,Advisor_ID_7,Advisor_Role_7,Advisor_Name_8,Advisor_ID_8,Advisor_Role_8,Category_ID,Source Notes,Edition_Details
COMB_000018,"González, Elisa M.",,CBA000166447,"Food for Every Mouth: Nutrition, Agriculture, and Public Health in Puerto Rico, 1920s-1960s",2016,Columbia University,CBA000119793,,,,,,"Sivaramakrishnan, Kavita",CBA000166872,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131336,,
COMB_000019,"Whitt, David Francis",,CBA000109437,“Resistance is Futile”: The Rhetoric of the Cyborg in the Information Age,2002,University of Nebraska - Lincoln,CBA000162504,,,,,,"Lee, Ronald",CBA000153398,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131339,,"Advisor: Lee, Ronald"
COMB_000020,Roger H. Lieberman,,CBA537539167,The Evolution of Julian Huxley: The Modern Evolutionary Synthesis and the Quest for Scientific Humanism,2015,Drew University,CBA000162275,,,,,,Allan Dawson,CBA192809810,Advisor,Wyatt Evans,CBA116436005,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131322,,
COMB_000021,"Misiewicz, Zoë",,CBA468821296,John Lydus and Mesopotamian Celestial Omens in Late Antiquity,2019,New York University,CBA000120730,,,,,,"Jones, Alexander",CBA000050950,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130955,,
COMB_000022,"Ellis, Helen",,CBA798579808,"Maize, Quetzalcoatl, and Grass Imagery: Science in the Central Mexican Codex Borgia",2015,"University of California, Los Angeles",CBA000138968,,,,,,"Klein, Cecelia F.",CBA000054305,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130730,,
COMB_000023,"Hyslop, Scott J.",,CBA000048618,The Mathematics of Collision and the Collision of Mathematics in the 17th Century,2015,Indiana University,CBA000118764,,,,,,"Bertoloni Meli, Domenico",CBA000008544,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131130,,
COMB_000024,"Epperson, Michael Gordon",,CBA000029583,Quantum Mechanics and the Philosophy of Alfred North Whitehead,2003,University of Chicago,CBA000114764,,,,,,"Tracy, David",CBA000103081,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131311,,"Advisor: Tracy, David"
COMB_000025,"Mangraviti, Max",,CBA629158402,"Light Beyond Modernity's Long Shadow: Social and Medical Science in the Making of the 'State' of Guatemala, 1871-1900",2020,University of Arizona,CBA000114638,,,,,,"Gosner, Kevin",CBA000038838,Advisor,"Few, Martha",CBA000031652,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131236,,
COMB_000026,"Neri, Janice L.",,CBA000073613,Fantastic Observations:  Images of Insects in Early Modern Europe,2003,"University of California, Irvine",CBA000162467,,,,,,"Bauer, George C.",CBA000006244,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131262,,"Advisor: Bauer, George C."
COMB_000027,"Bamballi, Nicolás",,CBA479729158,The Arabic Version of Galen's De elementis ex Hippocratis sententia 1–5,2020,Indiana University,CBA000118764,,,,,,"Newman, William Royall",CBA000073882,Advisor,"Walbridge, John",CBA000106809,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130449,,
COMB_000028,Marissa Helene Petrou,,CBA567291140,"Disciplines of Collection: Founding the Dresden Museum for Zoology, Anthropology and Ethnology in Imperial Germany",2016,"University of California, Los Angeles",CBA000138968,,,,,,"Porter, Theodore M.",CBA000081197,Advisor,Debora Leah Silverman,CBA579562557,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131242,,
COMB_000029,"Haslem, Lauren N.",,CBA567678854,"""Too Hot to Handle"": LSD, Medical Activism, and the Spring Grove Studies",2017,"Purdue University (Lafayette, Indiana)",CBA000115258,,,,,,"Kline, Wendy",CBA000054492,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131337,,
COMB_000030,"Tamao, Shuko",,CBA432778764,Memories of Asylums: A Narrative Examination of Postwar State Hospital Experiences,2020,"State University of New York, Buffalo",CBA000162412,,,,,,"Rembis, Michael Allen",CBA000084381,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131335,,
COMB_000031,"Varino, Sofia Helena Jorge",,CBA628792467,Vital Differences Indeterminacy & the Biomedical Body,2017,State University of New York at Stony Brook,CBA000162413,,,,,,"Diedrich, Lisa",CBA379660952,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130332,,
COMB_000032,Heidi Katherine Knoblauch,,CBA389703004,"Patients' Posture: Medical Photography, Collecting, and Privacy, 1862-1962",2015,Yale University,CBA000115552,,,,,,"Warner, John Harley",CBA000107535,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130332,,
COMB_000033,"Grise, Michelle Claire",,CBA430882570,"Inside the Nuclear Labyrinth: Science and Security in the Making of Contemporary Pakistan, 1947-1998",2017,Yale University,CBA000115552,,,,,,"Snyder, Timothy",CBA224866003,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131295,,
COMB_000034,"Seitz, John Britton",,CBA997974814,"Science and the Steppe: Agronomists, Nomads, and the Settler Colony on the Kazakh Steppe, 1881-1917",2019,Iowa State University,CBA000162315,,,,,,"Andrews, James T.",CBA000002469,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131281,,
COMB_000035,"Phelps, Scott Douglas",,CBA000156824,Blind to Their Blindness A History of the Denial of Illness,2014,Harvard University,CBA000114966,,,,,,"Harrington, Anne",CBA000042933,Advisor,"Kuriyama, Shigehisa",CBA000056747,Committee Member,"Rosenberg, Charles E.",CBA000087057,Committee Member,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131334,,"Advisor: Harrington, Anne; Committee Members: Kuriyama, Shigehisa, Rosenberg, Charles E."
COMB_000036,"Adam, Luthfi",,CBA601276965,"Cultivating Power: Buitenzorg Botanic Garden and Empire-Building in the Netherlands East Indies, 1745-1917",2020,Northwestern University,CBA000162366,,,,,,"Cherry, Haydon",CBA544691684,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131202,,
COMB_000037,"Carlino, Philip",,CBA377617185,"Docile by Design: Commercial Furniture and the Education of American Bodies, 1840-1920",2020,Boston University,CBA000132432,,,,,,"Moore, William D.",CBA876881238,Advisor,"Sichel, Kim",CBA097593795,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131279,,
COMB_000038,"Fix, Adam",,CBA952290872,Sensible Mathematics: The Science of Music in the Age of the Baroque,2019,University of Minnesota,CBA000115146,,,,,,"Boantza, Victor Dan",CBA000010138,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131131,,
COMB_000039,"Willoughby, Christopher D. E.",,CBA347715332,Pedagogies of the Black Body: Race and Medical Education in the Antebellum United States,2016,Tulane University,CBA000120383,,,,,,"Sparks, Randy J.",CBA949632570,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131244,,
COMB_000040,"Xu, Shibo",,CBA703073803,"Lithograghy, Civil Examinations and Commercialization: A Study on the Shanghai Book Industry in Late Qing Times (1872-1905)",2016,Chinese University of Hong Kong,CBA000132907,,,,,,"Poo, Mu Chou",CBA139638052,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130572,,
COMB_000041,"Bedford, Riiko",,CBA000166207,"""Like Produces Like"": Popular Conceptions of Heredity in Canada, 1860-1900",2017,University of Toronto,CBA000115427,,,,,,"Krementsov, Nikolai L.",CBA000056007,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131263,,
COMB_000042,"Murel, Jacob",,CBA456239789,(In)Stability and (Re)Creation in the English Print Reception of Vesalian Anatomical Illustrations: A Material-Hermeneutical and Text Analytic Study in Transnational Early Modern Bibliography,2022,Northeastern University,CBA000162362,,,,,,"Boeckeler, Erika",CBA150840540,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131088,,
COMB_000043,James Phillip Ascher,,CBA593064493,Reading for Enlightenment in the Beginning of Philosophical Transactions,2021,University of Virginia,CBA000119280,,,,,,Cynthia Wall,CBA965891520,Advisor,Vander Meulen,CBA810932087,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131127,,
COMB_000044,"Priesendorf, Emma Jo",,CBA651017930,Trilobites and the Culture of Wonder in Antebellum America,2021,University of Missouri,CBA000117400,,,,,,"Osborn, Matthew Warner",CBA000076143,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131259,,
COMB_000045,"Shah, Nayan",,CBA000093414,"San Francisco's “Chinatown”: Race and the cultural politics of public health, 1854-1952",1995,University of Chicago,CBA000114764,,,,,,"Holt, Thomas C.",CBA000046813,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116027,,Advisor: Thomas C. Holt
COMB_000046,"Menon, Minakshi",,CBA000154960,"Making Useful Knowledge: British Naturalists in Colonial India, 1784--1820",2013,"University of California, San Diego",CBA000162469,,,,,,"Shah, Nayan",CBA000093414,Committee Member,"Agnew, Duncan",CBA000144110,Committee Member,"Oreskes, Naomi",CBA000075961,Advisor,"Lakoff, Andrew",CBA000057308,Committee Member,"Mukerji, Chandra",CBA000072100,Committee Member,"Westman, Robert S.",CBA000109001,Committee Member,,,Advisor,,,Advisor,CBA000131198,,"Advisor: Oreskes, Naomi; Committee Members: Agnew, Duncan, Lakoff, Andrew, Mukerji, Chandra, Shah, Nayan B., Westman, Robert."
COMB_000047,"Cunningham, A. R.",,CBA000022562,Aspects of the history of medical education in Britain in the 17th and early 18th centuries,,University College London (UK),CBA000118442,,,,,,"Clarke, E.",TEMP_8F9490E7A7DC,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115645,,
COMB_000048,"Fara, Patricia",,CBA000030642,Magnetic England in the 18th century,,Imperial College London (UK),,,,,,,"magnetism, J.A. Secord. On animal",TEMP_FC694AC60E63,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130242,,
