ID,Author_Name,Years,Author_ID,Title,Year,School,School_ID,Department_free_text,Department_broad_category,Department CBID,Subject_broad,Root_dissertation,Advisor_Name_1,Advisor_ID_1,Advisor_Role_1,Advisor_Name_2,Advisor_ID_2,Advisor_Role_2,Advisor_Name_3,Advisor_ID_3,Advisor_Role_3,Advisor_Name_4,Advisor_ID_4,Advisor_Role_4,Advisor_Name_5,Advisor_ID_5,Advisor_Role_5,Advisor_Name_6,Advisor_ID_6,Advisor_Role_6,Advisor_Name_7,Advisor_ID_7,Advisor_Role_7,Advisor_Name_8,Advisor_ID_8,Advisor_Role_8,Category_ID,Source Notes,Edition_Details
COMB_001066,"Papineau, D. C.",,CBA000077126,A theory of meaning for scientific terms,,University of Cambridge (UK),CBA000162619,,,,,,"Hacking, Ian",TEMP_9776FE2F2A2F,Advisor,"Hesse, M. B.",TEMP_B325046D2A83,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115617,,
COMB_001067,"Hernandez Berrones, Jethro",,CBA000151093,"Revolutionary Medicine: Homeopathy and the Regulation of the Medical Profession in Mexico, 1853--1942",2014,"University of California, San Francisco",CBA000162470,,,,,,"Soto Laveaga, Gabriela",CBA000058423,Advisor,"Watkins, Elizabeth Siegel",CBA000107745,Committee Member,"Dolan, Brian P.",CBA000026294,Committee Member,"Porter, Dorothy",CBA000081158,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131275,,"Advisor: Porter, Dorothy, Soto-Laveaga, Gabriela; Committee Members: Dolan, Brian, Watkins, Elizabeth."
COMB_001068,"Guardiola, Ginger Lee",,CBA000040672,"Within and Without:  The Social and Medical Worlds of the Medieval Midwife, 1000--1500",2002,"University of Colorado, Boulder",CBA000162475,,,,,,"Epstein, Steven A.",CBA000029607,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131039,,"Advisor: Epstein, Steven A."
COMB_001069,"Fleming, R. S.",,CBA000032485,John Dalton's development of a quantified chemistry: A reconstruction of the genesis of chemical atomism,,University of Cambridge (UK),CBA000162619,,,,,,"Schuster, J. A.",TEMP_528B360F5580,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130243,,
COMB_001070,"Schaffer, Simon",,CBA000090418,Newtonian cosmology and the steady state,,University of Cambridge (UK),CBA000162619,,,,,,"Hoskin, Michael A.",CBA000047334,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115884,,
COMB_001071,"Simpson, A. D. C.",,CBA000094907,The early development of the reflecting telescope in Britain,,University of Edinburgh (UK),CBA000138995,,,,,,"Forbes, E. G.",TEMP_99E6FF22B6C6,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115866,,
COMB_001072,"Davis, A. L.",,CBA000023752,A mathematical elucidation of the bases of Kepler's laws,,Imperial College London (UK),,,,,,,"Hall, A. Rupert",CBA000041882,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115866,,
COMB_001073,"Austerfield, P. J.",,CBA000003850,"The development of large-scale production and utilisation of lighter-than-air gases in France, Britain, and the Low Countries from 1783 to 1821, with special reference to aeronautics and the coal gas industry",,University College London (UK),CBA000118442,,,,,,"Smeaton, W. A.",TEMP_6E60E47A7211,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130187,,
COMB_001074,"King, M. Christine",,CBA000053860,"Time and chemical change: The development of temporal concepts in chemistry, with special reference to the work of Augustus Vernon Harcourt",,Open University (UK),CBA000162368,,,,,,"Russell, C. A.",TEMP_C13B69084F73,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115626,,
COMB_001075,"Wollock, J. L.",,CBA000111132,Speech defect in the Renaissance,,University of Oxford (UK),CBA000115211,,,,,,"Nutton, V.",TEMP_5EB394774D0F,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130240,,
COMB_001076,"Barraclough, K. C.",,CBA000005592,The development of the early steelmaking processes: An essay in the history of technology,,Sheffield University (UK),CBA000162399,,,,,,"Crossley, D. W.",TEMP_6EF8C002B294,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116263,,
COMB_001077,"Jackson, Myles W.",,CBA000049490,Goethe's law and order: Nature and art in <em>Elective affinities</em>,,University of Cambridge (UK),CBA000162619,,,,,,"Schaffer, S.",TEMP_26AAC8077C42,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118585,,
COMB_001078,"Sheppard, Kathleen L.",,CBA000093891,The Lady and the Looking Glass: Margaret Murray's Life in Archaeology,2010,University of Oklahoma,CBA000119141,,,,,,"Pandora, Katherine A.",CBA000076974,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131273,,"Advisor: Pandora, Katherine"
COMB_001079,"Morris, Robert James",,CBA000071499,Eighteenth-Century Theories of the Nature of Heat,1965,University of Oklahoma,CBA000119141,,,,History of Science,,"Roller, Duane Henry Dubose",CBA000086591,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131193,,
COMB_001080,"Hale, Piers J.",,CBA000041847,"For Ecosocialism: Re-Reading William Morris, Robert Blatchford and Edward Carpenter on Labour, Nature and Embodiment, 1884-1900",2002,University of Lancaster (UK),CBA000162657,,,,,,,||,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131258,,
COMB_001081,"Stevenson, Robert L.",,CBA719408051,"Jumping Overboard: Examining Suicide, Resistance, and West African Cosmologies during the Middle Passage",2018,Michigan State University,CBA000119128,,,,,,Lee N. June,CBA314070624,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130778,,
COMB_001082,"Cao, T. Y.",,CBA000016029,History of quantum field theory,,University of Cambridge (UK),CBA000162619,,,,,,"Hesse, M. B.",TEMP_C85DA9D72A76,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115802,,
COMB_001083,"Weindling, Paul J.",,CBA000108324,Cell biology and Darwinism in Imperial Germany: The contribution of Oscar Hertwig (1849-1922),,University College London (UK),CBA000118442,,,,,,"Rattansi, P. M.",TEMP_9897337693C8,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130243,,
COMB_001084,"Bryder, Linda",,CBA000013929,"The anti-tuberculosis campaign in England and Wales, 1919-1942",,University of Oxford (UK),CBA000115211,,,,,,"Webster, C.",TEMP_06AA24FF65EE,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130244,,
COMB_001085,"Elliott, P. N.",,CBA000029088,The biochemical speculation of Claude Bernard,,University of Oxford (UK),CBA000115211,,,,,,"Webster, C.",TEMP_06AA24FF65EE,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130243,,
COMB_001086,"Kalfus, Melvin",,CBA000051834,In memory of the summer days: The mind and work of Frederick Law Olmsted,1988,New York University,CBA000120730,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130180,,
COMB_001087,"Bak, Meredith Anne",,CBA000004556,Perception and Playthings: Optical Toys as Instruments of Science and Culture,2012,"University of California, Santa Barbara",CBA000162471,,,,,,"Bloom, Peter J.",CBA000010017,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131234,,"Advisor: Bloom, Peter J."
COMB_001088,"Cagle, Caroline Woodell",,CBA000015312,Technology in Society: The Pipe Organ in Early Modern England,2003,Virginia Polytechnic Institute,CBA000162792,,,,,,"Pitt, Joseph C.",CBA000080302,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131161,,"Advisor: Pitt, Joseph C."
COMB_001089,"Duncan-LaCoste, Lisbeth Ellen",,CBA000027661,A Controversy about Animal Consciousness,2003,University of Washington,CBA000115526,,,,,,"Marks, Charles E.",CBA000065082,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130324,,"Advisor: Marks, Charles E."
COMB_001090,Barrie Blatchford,,CBA242178325,"America’s Acclimatization Exchange: Animal Acclimatization, Settler Colonialism, and the Transformation of American Nature, 1840-1975.",2024,Columbia University,CBA000119793,,,,,,"Jacoby, Karl H.",CBA000049631,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_001091,"Bentley, Gregory W.",,CBA000007771,"Shakespeare and the new disease: The dramatic function of syphilis in <em>Trolius and Cressida</em>, <em>Measure for Measure</em>, and <em>Timon of Athens</em>",1986,"University of California, Davis",CBA000162466,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115697,,
COMB_001092,"Lee, Clarissa Ai Ling",,CBA824521275,Speculative Physics: the Ontology of Theory and Experiment in High Energy Particle Physics and Science Fiction,2014,Duke University,CBA000120251,,,,,,"Hayles, N. Katherine",CBA000043785,Advisor,"Kruse, Mark C.",CBA326375086,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_001093,"Staley, Richard A.",,CBA000097543,Max Born and the German physics community: The education of a physicist,,University of Cambridge (UK),CBA000162619,,,,,,"Schaffer, S.",TEMP_26AAC8077C42,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130193,,
COMB_001094,"Duck, Michael J.",,CBA000027349,Goethe's polemic against Newton,,Imperial College London (UK),,,,,,,"Turner, G. L'E.",TEMP_D51C9F920506,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115814,,
COMB_001095,Luke Stadel,,CBA695781046,"Television as a Sound Medium, 1922-1994",2015,Northwestern University,CBA000162366,,,,,,Lynn B. Spigel,CBA887886795,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131339,,
COMB_001096,Michael Dee,,CBA285392577,Roots of Charles Darwin's Creativity,2016,Drew University,CBA000162275,,,,,,Robert Ready,CBA401780802,Advisor,"Kohn, E. David",CBA000055090,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131234,,
COMB_001097,"McCullough, D. O.",,CBA022578008,"“Distinct from the School Experience” The Development of Pedagogical Authority through Teacher Programs at the American Museum of Natural History, 1880–1962",2020,"University of Wisconsin, Madison",CBA000162546,,,,,,"Rudolph, John L.",CBA000088037,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131244,,
COMB_001098,"Hausse, Heidi",,CBA127343144,"Life and Limb: Technology, Surgery, and Bodily Loss in Early Modern Germany, 1500-1700",2016,Princeton University,CBA000115251,,,,,,"Grafton, Anthony T.",CBA000039200,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131098,,
COMB_001099,Stephen D. Haswell Todd,,CBA170295560,"The Turn to the Self: a History of Autism, 1910-1944",2015,University of Chicago,CBA000114764,,,,,,Christopher Wild,CBA406579588,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131334,,
COMB_001100,"Levy, Moran",,CBA835813603,Trial and Error: The Invention of Cancer Chemotherapy 1950–1980,2020,Columbia University,CBA000119793,,,,,,"Eyal, Gil",CBA108176618,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131393,,
COMB_001101,Michael Pfeiffer,,CBA501310925,"Whose Gender? Whose Identity? Trans Medicine, Psychiatry, and the Symbolic Order",2016,Bryn Mawr College,CBA000162251,,,,,,"Baumohl, Jim",CBA000006367,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131357,,
COMB_001102,"Walker, Katherine A.",,CBA346472125,Reading the Natural and Preternatural Worlds in Early Modern Drama,2018,University of North Carolina at Chapel Hill,CBA000162511,,,,,,"Floyd-Wilson, Mary",CBA000032666,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131060,,
COMB_001103,"Vleet, Stacey Van",,CBA000106163,"Medicine, Monasteries and Empire: Tibetan Buddhism and the Politics of Learning in Qing China",2015,Columbia University,CBA000119793,,,,,,Gray Tuttle,CBA755664540,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130567,,
COMB_001104,"Cowles, Henry M.",,CBA000021698,"A Method Only: The Evolving Meaning of Science in the United States, 1830–1910",2015,Princeton University,CBA000115251,,,,,,"Rodgers, Daniel T.",CBA000086231,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131226,,
COMB_001105,Travis Benjamin Wilds,,CBA998377747,"The Vertiginous Thrill of Exactitude: Life, Literature and the Physical Sciences in Post-Enlightenment Paris (1780-1840)",2015,"University of California, Berkeley",CBA000118094,,,,,,Michael Lucey,CBA593125264,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131237,,
COMB_001106,"Farris, Kimberly Paige",,CBA979032196,"The Incorporeal Scientific Method: Gender, Hybridity, and the Rise of Material Science in American Literature, 1840–1900",2020,University of North Carolina at Chapel Hill,CBA000162511,,,,,,"Richards, Eliza C.",CBA000157650,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131239,,
COMB_001107,Kelle Dhein,,CBA285610646,The Meaning of Meaning in Insect Navigation Research,2021,Arizona State University,CBA000162235,,,,,,"Sterner, Beckett",CBA000098351,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131326,,
COMB_001108,"Cha, Hyeonggu",,CBA622467017,Soviet Launch of Sputnik: Sputnik-inspired Educational Reform and Changes in Private Returns in America,2015,Clemson University,CBA324598641,,,,,,"Simon, Curtis J.",CBA407082290,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131303,,
COMB_001109,Robert John Schimelpfenig,,CBA661603570,Life in the Anthropocene; A Cosmic Drama: Exploring the Human-nature Relationship as a History of Ideas in Modern Philosophical Movements and Its Interpretation Through an Embodied Experience in the Columbia River Basin,2015,California Institute of Integral Studies,CBA000162255,,,,,,"Montuori, Alfonso",CBA000070824,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131376,,
COMB_001110,"Allard, James Robert",,CBA000001433,“Bare of Laurel”:  The Poet's Body and the Romantic Poet-Physician,2002,University of Waterloo (Canada),CBA000162742,,,,,,"Wright, Julia M.",CBA000111582,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131275,,"Advisor: Wright, Julia M."
COMB_001111,"Ballenger, Jesse F.",,CBA000004862,Senility and self in modern America: A cultural history of Alzheimer's disease,2000,Case Western Reserve University,CBA000114743,,,,,,"Van Tassel, David D.",CBA000100811,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130332,,"Advisor: Van Tassel, David D."
COMB_001112,"Whitaker, Elizabeth Dixon",,CBA000109202,The medicalization of maternity in Italy: Fascism and breastfeeding in an Apennine community,1995,Emory University,CBA000162282,,,,,,"Brown, Peter J.",CBA000013481,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_001113,"Fobia, Aleia Clark",,CBA002442009,"Investigating the Postwar Decline of Race in Science: Race, Science, and Immunology",2016,"University of Maryland, College Park",CBA000162496,,,,,,"Kestnbaum, Meyer",CBA677004541,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131297,,
COMB_001114,"Anderson, Kent C.",,CBA000002263,Aristotle on the causality of thought and desire,1978,"University of Wisconsin, Madison",CBA000162546,,,,,,"Penner, Terrence M. I.",CBA000078565,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115993,,Supervisor: Terrence M. Penner
COMB_001115,"Mele, Alfred R.",,CBA000068140,Aritotle's theory of human motivation,1979,University of Michigan,CBA000115143,,,,,,"White, Nicholas",CBA000161514,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115993,,Chairman: Nicholas White
COMB_001116,"Gillett, Mary C. R.",,CBA000037192,Hospital reform in the French Revolution,1978,American University,CBA000131785,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116030,,
COMB_001117,"Cohen, Arnold S.",,CBA000019871,Epistemology and the history of mankind in Lucretius' <em>De rerum naturae</em> 5 and 6,1978,Ohio State University,CBA000115204,,,,,,"Snyder, Jane M.",CBA000096193,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor: Jane M. Snyder
COMB_001118,"Schutzberger, Helen A.",,CBA000092101,Aristotle and the supreme mover of the <em>Physics</em>,1977,University of Toronto,CBA000115427,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118587,,
COMB_001119,"Oberti, Margherita M.",,CBA000075242,"Scepticism versus dogmatism: An internal analysis of Sextus Empiricus' <em>Against mathematicians</em>, book VII",1979,University of British Columbia,CBA000162464,,,,,,"Todd, Robert B.",CBA000102535,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Supervisor: Robert B. Todd
COMB_001120,"Pagliuso, Saverio M.",,CBA000076671,The aims of cosmological inquiry in early Greek thought,1979,University of Waterloo (Canada),CBA000162742,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115884,,
COMB_001121,"Milkman, Howard L., Jr.",,CBA000069420,"Thomas De Witt Talmage: An evangelical 19th-century voice on technology, urbanization, and labor-management conflicts",1979,New York University,CBA000120730,,,,,,"Belford, Lee A.",CBA000007186,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115696,,Chairperson: Lee A. Belford
COMB_001122,"Baker, G. Ross",,CBA000004590,Collaboration and conflict: Scientific change and the social structure of biomedical research,1982,University of Toronto,CBA000115427,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_001123,"Bator, Paul A.",,CBA000006140,"“Saving lives on the wholesale plan”: Public health reform in the city of Toronto, 1900-1930",1979,University of Toronto,CBA000115427,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_001124,"Lipton, Joshua D.",,CBA000061172,"The rational evaluation of astrology in the period of Arabo-Latin translation, ca. 1126-1187 A.D",1978,"University of California, Los Angeles",CBA000138968,,,,,,"Funkenstein, Amos",CBA000034676,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118594,,Chairman: Amos Funkenstein
COMB_001125,"Noma, Elliot J.",,CBA000074508,"Centroid scaling of citation data: Charting the history of a scientific specialty, plate tectonics",1982,University of Michigan,CBA000115143,,,,,,"Kochen, Manfred",CBA000054905,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115903,,Supervisor: Manfred Kochen
COMB_001126,"Langins, Janis",,CBA000057828,The École Polytechnique (1794-1804): From encyclopaedic school to military institution,1979,University of Toronto,CBA000115427,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115645,,
COMB_001127,"Arthur, Thomas J.",,CBA000003365,Anatomies and the anatomy metaphor in Renaissance England,1978,"University of Wisconsin, Madison",CBA000162546,,,,,,"Chambers, Alexander B.",CBA000017703,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115697,,Supervisor: Alexander B. Chambers
COMB_001128,"Hutchinson, Gov",,CBA000048473,Robert Chambers's vision of science: The diffusion of scientific ideas to the general reader in early Victorian Britain,1980,Temple University,CBA000162424,,,,,,"Parssinen, Terry M.",CBA000077539,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115647,,Major Advisor: Terry M. Parssinen
COMB_001129,"Kronemeyer, Ronald J.",,CBA000056211,"Matter and meaning: Dualism in the thought of Robert Boyle, Isaac Newton, and John Ray",1978,Kent State University,CBA000162323,,,,,,"Beer, Barrett L.",CBA000006953,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118585,,Director: Barrett L. Beer
COMB_001130,"Wells, Christa M. Wilmanns",,CBA000108629,"<em>A small herbal of little cost</em>, 1762-1778: A case study of a colonial herbal as a social and cultural document",1980,University of Pennsylvania,CBA000115228,,,,,,"Zemsky, Robert M.",CBA000112947,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115578,,Supervisor: Robert M. Zemsky
COMB_001131,"Zumbach, Clark E.",,CBA000113543,The lawlessness of living things: Kant's conception of organismic activity,1980,Rutgers University,CBA000115316,,,,,,"King, Peter",CBA000053872,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118585,,Director: Peter King
COMB_001132,"Matriotti, Michael",,CBA000066130,"The problem of the relationships between science and religion viewed in the light of the evolutionary notions of Julian Huxley, C. G. Jung, and F. W. J. von Schelling",1983,Graduate Theological Union,CBA000162302,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115696,,
COMB_001133,"Lane, Caroleena H.",,CBA000057671,"The introduction of plants of economic importance into England, 1500-1660",1978,Emory University,CBA000162282,,,,,,"Thirsk, Joan",CBA000101695,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor: Joan Thirsk
COMB_001134,"Paul, Terri G.",,CBA000077912,Blasted hopes: A thematic survey of 19th-century British science fiction,1979,Ohio State University,CBA000115204,,,,,,"Zacher, Christian K.",CBA000162079,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor: Christian Zacher
COMB_001135,"Gibson, Mary S.",,CBA000036914,"Urban prostitution in Italy, 1860-1915: An experiment in social control",1979,Indiana University,CBA000118764,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_001136,"Jaffe, Arnold",,CBA000049707,"Addiction reform in the Progressive Age: Scientific and social responses to drug dependence in the United States, 1870-1930",1976,"Kentucky, University of",CBA000119914,,,,,,"Lowitt, Richard",CBA000062367,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116022,,Director: Richard Lowitt
COMB_001137,"Marien, Mary W.",,CBA000064939,"Superior people, exceptional times: The concept of genius in Victorian England",1978,Syracuse University,CBA000162419,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115994,,
COMB_001138,"Danko, George M.",,CBA000023347,"The evolution of the simple truss bridge, 1790 to 1850: From empiricism to scientific construction",1979,University of Pennsylvania,CBA000115228,,,,,,"Orr, David G.",CBA000076037,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Supervisor: David G. Orr
COMB_001139,"Moynes, Riley E.",,CBA000071962,"Teachers and pteranodons: The origins and development of the education department of the Royal Ontario Museum, 1914-1974",1978,University of Toronto,CBA000115427,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_001140,"Saha, Margaret Somosi",,CBA000088927,Carl Correns and an alternative approach to genetics: The study of heredity in Germany between 1880 and 1930,1984,Michigan State University,CBA000119128,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115933,,
COMB_001141,"Quiroga, Virginia Anne Metaxas",,CBA000082654,Poor mothers and babies: A social history of childbirth and child care institutions in 19th-century New York City,1984,State University of New York at Stony Brook,CBA000162413,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116080,,
COMB_001142,"Al-Rabe, Ahmad A.",,CBA000001725,"Muslim philosophers' classification of the sciences: Al-Kindi, Al-Farabi, Al-Ghazali, Ibn Khaldun",1984,Harvard University,CBA000114966,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118594,,
COMB_001143,"Grill, Michael A.",,CBA000040152,Descartes: A re-interpretation of his metaphysics and science,1975,University of Kansas,CBA000115061,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000118585,,
COMB_001144,"Warner, John Harley",,CBA000107535,"The therapeutic perspective: Medical knowledge, practice and professional identity in America, 1820-1885",1984,Harvard University,CBA000114966,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115649,,
COMB_001145,"Merrill, Lynn L.",,CBA000068591,The romance of natural history: Victorian natural history writing and literary particularity,1984,"University of Colorado, Boulder",CBA000162475,,,,,,"Kincaid, James R.",CBA000053794,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130314,,Director: James R. Kincaid
COMB_001146,"Lopos, George J.",,CBA000061994,The method in the madness: Themes and conventions in Shakespeare's portrayal of madness,1979,University of Iowa,CBA000115031,,,,,,"Heffner, Ray L., Jr.",CBA000044088,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115697,,"Supervisor: Ray L. Heffner, Jr"
